
sensor,date,time,Density,Flow,Speed,
S60,2014/04/02,7:30 PM,14.669835,3058.0,71.95605,
S60,2014/04/02,8 PM,13.559475,2744.0,70.7942,
S60,2014/04/02,8:30 PM,13.28174,2708.0,69.99146,
S60,2014/04/02,9 PM,12.735531,2572.0,69.58421,
S60,2014/04/02,9:30 PM,12.585295,2590.0,70.195335,
S60,2014/04/02,10 PM,10.235894,2118.0,72.106186,
S60,2014/04/02,10:30 PM,8.925338,1824.0,71.01192,
S60,2014/04/02,11 PM,8.205694,1568.0,67.989555,
S60,2014/04/02,11:30 PM,5.5557957,1140.0,72.99742,
S60,2014/04/02,Midnight,4.9857855,900.0,67.87533,
S60,2014/04/03,12:30 AM,3.7491896,666.0,66.41565,
S60,2014/04/03,1 AM,3.1637146,542.0,66.655365,
S60,2014/04/03,1:30 AM,2.7651322,422.0,59.081062,
S60,2014/04/03,2 AM,2.3682158,348.0,58.993042,
S60,2014/04/03,2:30 AM,2.1492572,308.0,60.582108,
S60,2014/04/03,3 AM,2.3364575,322.0,58.6113,
S60,2014/04/03,3:30 AM,2.5924401,344.0,58.28672,
S60,2014/04/03,4 AM,2.5587652,352.0,58.074177,
S60,2014/04/03,4:30 AM,2.774301,420.0,60.047783,
S60,2014/04/03,5 AM,3.900772,654.0,66.21672,
S60,2014/04/03,5:30 AM,5.6246285,1114.0,70.89644,
S60,2014/04/03,6 AM,11.658957,2452.0,72.50386,
S60,2014/04/03,6:30 AM,15.9337225,3254.0,71.02198,
S60,2014/04/03,7 AM,24.957796,4764.0,65.457756,
S60,2014/04/03,7:30 AM,29.172302,5502.0,63.9307,
S60,2014/04/03,8 AM,40.495686,5102.0,46.20591,
S60,2014/04/03,8:30 AM,37.275806,4760.0,52.28155,
S60,2014/04/03,9 AM,25.489164,4804.0,64.79533,
S60,2014/04/03,9:30 AM,20.750801,3958.0,65.26751,
S60,2014/04/03,10 AM,20.883644,4104.0,67.495155,
S60,2014/04/03,10:30 AM,17.485619,3386.0,66.65959,
S60,2014/04/03,11 AM,17.49931,3512.0,68.70949,
S60,2014/04/03,11:30 AM,17.07718,3436.0,68.959564,
S60,2014/04/03,Noon,17.77611,3542.0,68.56389,
S60,2014/04/03,12:30 PM,17.861052,3500.0,67.87406,
S60,2014/04/03,1 PM,18.098642,3612.0,68.32368,
S60,2014/04/03,1:30 PM,17.503763,3522.0,68.76124,
S60,2014/04/03,2 PM,19.03026,3618.0,65.15528,
S60,2014/04/03,2:30 PM,19.704851,3650.0,64.030785,
S60,2014/04/03,3 PM,21.224894,3902.0,63.058453,
S60,2014/04/03,3:30 PM,21.348272,3738.0,61.92296,
S60,2014/04/03,4 PM,21.199665,4018.0,64.723076,
S60,2014/04/03,4:30 PM,21.182096,4024.0,64.87392,
S60,2014/04/03,5 PM,21.637571,3568.0,56.952553,
S60,2014/04/03,5:30 PM,25.345118,3314.0,45.84971,
