
sensor,date,time,Density,Flow,Speed,
S62,2013/01/03,2 AM,2.1969707,226.0,59.57171,
S62,2013/01/03,2:30 AM,1.5663396,172.0,64.30209,
S62,2013/01/03,3 AM,1.8580683,192.0,60.236107,
S62,2013/01/03,3:30 AM,1.4696549,152.0,61.307076,
S62,2013/01/03,4 AM,1.8351179,208.0,62.224236,
S62,2013/01/03,4:30 AM,2.0317385,234.0,64.68508,
S62,2013/01/03,5 AM,3.387098,364.0,61.268707,
S62,2013/01/03,5:30 AM,5.4720297,700.0,68.38874,
S62,2013/01/03,6 AM,10.868052,1386.0,65.96121,
S62,2013/01/03,6:30 AM,15.948843,1986.0,64.12132,
S62,2013/01/03,7 AM,25.738111,3112.0,61.686398,
S62,2013/01/03,7:30 AM,29.146175,3496.0,60.91061,
S62,2013/01/03,8 AM,30.797201,3448.0,56.485886,
S62,2013/01/03,8:30 AM,26.835869,3066.0,57.87621,
S62,2013/01/03,9 AM,26.235209,3060.0,59.20849,
S62,2013/01/03,9:30 AM,20.74138,2508.0,61.237476,
S62,2013/01/03,10 AM,22.372091,2584.0,59.30636,
S62,2013/01/03,10:30 AM,18.750017,2182.0,60.96866,
S62,2013/01/03,11 AM,19.00163,2266.0,60.818447,
S62,2013/01/03,11:30 AM,19.013891,2270.0,60.80936,
S62,2013/01/03,Noon,19.85315,2418.0,62.226353,
S62,2013/01/03,12:30 PM,20.023888,2380.0,61.21941,
S62,2013/01/03,1 PM,21.080143,2328.0,61.999046,
S62,2013/01/03,1:30 PM,19.89132,2444.0,62.953392,
S62,2013/01/03,2 PM,21.647419,2678.0,63.186058,
S62,2013/01/03,2:30 PM,22.276295,2710.0,62.71005,
S62,2013/01/03,3 PM,24.895447,3060.0,63.01853,
S62,2013/01/03,3:30 PM,26.321613,2974.0,59.5538,
S62,2013/01/03,4 PM,24.825512,2902.0,61.22956,
S62,2013/01/03,4:30 PM,26.088947,2824.0,57.175297,
S62,2013/01/03,5 PM,64.62945,2800.0,23.985523,
S62,2013/01/03,5:30 PM,55.36975,2754.0,27.140509,
S62,2013/01/03,6 PM,55.49481,2764.0,26.728916,
S62,2013/01/03,6:30 PM,35.068718,2782.0,42.743958,
S62,2013/01/03,7 PM,20.794157,2550.0,63.224537,
S62,2013/01/03,7:30 PM,15.7120495,2088.0,67.64478,
S62,2013/01/03,8 PM,13.716803,1820.0,67.65802,
S62,2013/01/03,8:30 PM,12.737673,1730.0,68.98732,
S62,2013/01/03,9 PM,11.130203,1514.0,69.08634,
S62,2013/01/03,9:30 PM,11.956737,1580.0,68.44629,
S62,2013/01/03,10 PM,10.004154,1376.0,70.96094,
S62,2013/01/03,10:30 PM,10.789809,1426.0,68.64565,
S62,2013/01/03,11 PM,8.160087,1086.0,68.84891,
S62,2013/01/03,11:30 PM,6.0892396,764.0,66.83377,
S62,2013/01/03,Midnight,5.2333665,674.0,67.84257,
S62,2013/01/04,12:30 AM,3.6602068,446.0,65.628876,
S62,2013/01/04,1 AM,3.2959328,394.0,66.33565,
S62,2013/01/04,1:30 AM,2.3842115,260.0,65.83323,
S62,2013/01/04,2 AM,2.1951993,256.0,67.61912,
S62,2013/01/04,2:30 AM,2.1604073,250.0,66.13238,
S62,2013/01/04,3 AM,1.5271068,184.0,66.3056,
S62,2013/01/04,3:30 AM,1.7721046,198.0,69.12486,
S62,2013/01/04,4 AM,2.1749747,230.0,62.61591,
S62,2013/01/04,4:30 AM,2.4059174,256.0,62.79389,
S62,2013/01/04,5 AM,2.6671698,314.0,67.22613,
S62,2013/01/04,5:30 AM,5.18337,646.0,68.25036,
S62,2013/01/04,6 AM,11.239132,1444.0,66.69533,
S62,2013/01/04,6:30 AM,14.416826,1856.0,66.75525,
S62,2013/01/04,7 AM,24.074757,3038.0,63.8922,
S62,2013/01/04,7:30 AM,26.693132,3270.0,62.475754,
S62,2013/01/04,8 AM,57.078728,3408.0,33.42757,
S62,2013/01/04,8:30 AM,40.69007,3214.0,46.95739,
S62,2013/01/04,9 AM,27.139008,3198.0,59.617687,
S62,2013/01/04,9:30 AM,22.936552,2742.0,61.04462,
S62,2013/01/04,10 AM,23.844135,2860.0,61.208515,
S62,2013/01/04,10:30 AM,20.563742,2480.0,61.90198,
S62,2013/01/04,11 AM,20.916441,2532.0,61.5142,
S62,2013/01/04,11:30 AM,21.142235,2546.0,61.53046,
S62,2013/01/04,Noon,21.51247,2624.0,61.71781,
S62,2013/01/04,12:30 PM,21.11199,2642.0,64.23702,
S62,2013/01/04,1 PM,22.92605,2868.0,63.34232,
S62,2013/01/04,1:30 PM,21.13518,2678.0,64.45385,
S62,2013/01/04,2 PM,23.052622,2890.0,63.874947,
