date ,time ,S60,S124,S1816
02/01/2013,11:30 pm,4.3590593,3.7474077,6.985556
02/01/2013,Midnight,3.512594,3.5681784,6.0288873
03/01/2013,12:30 am,2.5522046,2.6625123,4.8227777
03/01/2013,1:00 am,2.006482,1.8348385,3.9472222
03/01/2013,1:30 am,1.6670883,1.5868001,3.579445
03/01/2013,2:00 am,1.6411407,1.1960667,3.0616672
03/01/2013,2:30 am,1.2813579,1.043229,2.981667
03/01/2013,3:00 am,1.2442527,0.8846804,2.715556
03/01/2013,3:30 am,1.2022324,0.7574925,2.1349998
03/01/2013,4:00 am,1.4876125,0.843924,2.5755553
03/01/2013,4:30 am,1.608083,0.8731672,2.91
03/01/2013,5:00 am,2.5886798,1.6296108,3.5016665
03/01/2013,5:30 am,4.7623816,2.3984056,5.5238886
03/01/2013,6:00 am,9.7828455,3.898851,9.808889
03/01/2013,6:30 am,14.248296,5.3485785,14.614445
03/01/2013,7:00 am,25.189571,8.171879,22.135004
03/01/2013,7:30 am,28.35248,8.255323,26.108889
03/01/2013,8:00 am,32.921963,9.078071,32.262222
03/01/2013,8:30 am,31.900064,8.264609,28.646666
03/01/2013,9:00 am,26.939062,7.2076163,26.797218
03/01/2013,9:30 am,20.327908,6.555803,22.53555
03/01/2013,10:00 am,20.488352,6.9304175,22.074444
03/01/2013,10:30 am,16.471312,7.8473067,21.656727
03/01/2013,11:00 am,16.175867,7.8674726,22.454803
03/01/2013,11:30 am,16.064383,8.243114,21.11333
03/01/2013,Noon,16.510113,8.634759,22.856112
03/01/2013,12:30 pm,15.537328,9.139191,22.471178
03/01/2013,1:00 pm,17.258593,9.18287,23.443335
03/01/2013,1:30 pm,15.891104,9.487232,23.134443
03/01/2013,2:00 pm,17.615826,10.189423,25.462782
03/01/2013,2:30 pm,18.14187,11.690789,27.371666
03/01/2013,3:00 pm,20.138577,12.947284,29.839437
03/01/2013,3:30 pm,20.225891,14.03156,40.534447
03/01/2013,4:00 pm,19.172297,16.133785,37.665012
03/01/2013,4:30 pm,20.502163,17.464642,40.094448
03/01/2013,5:00 pm,27.633785,16.931486,75.58332
