
sensor,date,time,Density,Flow,Speed,
S61,2013/01/02,8 PM,13.202182,1602.0,62.067966,
S61,2013/01/02,8:30 PM,11.741698,1516.0,65.20212,
S61,2013/01/02,9 PM,11.174903,1420.0,64.82668,
S61,2013/01/02,9:30 PM,11.012613,1402.0,64.71048,
S61,2013/01/02,10 PM,10.52597,1382.0,67.08253,
S61,2013/01/02,10:30 PM,8.947651,1178.0,67.51971,
S61,2013/01/02,11 PM,7.5510464,976.0,69.34165,
S61,2013/01/02,11:30 PM,5.739507,738.0,66.62218,
S61,2013/01/02,Midnight,4.4571576,554.0,66.62056,
S61,2013/01/03,12:30 AM,3.165801,406.0,69.05004,
S61,2013/01/03,1 AM,2.631156,304.0,65.22998,
S61,2013/01/03,1:30 AM,2.1296813,244.0,65.03524,
S61,2013/01/03,2 AM,2.3198628,242.0,60.729595,
S61,2013/01/03,2:30 AM,1.6282891,178.0,62.10358,
S61,2013/01/03,3 AM,1.7778141,194.0,62.97446,
S61,2013/01/03,3:30 AM,1.4763626,154.0,62.875294,
S61,2013/01/03,4 AM,1.8057584,210.0,64.607254,
S61,2013/01/03,4:30 AM,2.0883424,240.0,65.77925,
S61,2013/01/03,5 AM,3.240067,346.0,60.371204,
S61,2013/01/03,5:30 AM,5.490071,708.0,68.511246,
S61,2013/01/03,6 AM,10.677239,1368.0,66.44038,
S61,2013/01/03,6:30 AM,15.272914,1908.0,64.02116,
S61,2013/01/03,7 AM,25.644764,3076.0,61.0228,
S61,2013/01/03,7:30 AM,27.364183,3300.0,61.249714,
S61,2013/01/03,8 AM,29.657827,3338.0,56.71421,
S61,2013/01/03,8:30 AM,25.916449,3002.0,58.540195,
S61,2013/01/03,9 AM,25.123005,2950.0,59.412334,
S61,2013/01/03,9:30 AM,19.93292,2436.0,61.80724,
S61,2013/01/03,10 AM,21.245714,2476.0,59.57843,
S61,2013/01/03,10:30 AM,18.083027,2106.0,60.652576,
S61,2013/01/03,11 AM,18.688793,2240.0,60.850727,
S61,2013/01/03,11:30 AM,18.634478,2242.0,61.374565,
S61,2013/01/03,Noon,19.695648,2386.0,61.972874,
S61,2013/01/03,12:30 PM,19.318613,2358.0,62.18242,
